"names","l","m","n","o"
"ATM",10,22,54,67
"TP53",1,31,18,103
"Amplification-3q22.1-3q22.3",6,26,48,73
"Amplification-8q23.2-8q24.21",1,31,31,90
"Deletion_9p21.1",4,28,20,101
"Deletion_11q22.3",5,27,63,58
"Deletion_TP53",3,29,24,97
"Deletion_17p13.3",6,26,46,75
"Deletion_1p13.1",11,21,18,103
"NSD2",2,30,3,118
"Deletion_6q21",0,32,30,91
"Amplification_13q31.3",4,28,4,117
"Deletion_19p13.3",2,30,47,74
"SMARCA4",4,28,16,105
"Deletion_12p13.2",2,30,11,110
"Deletion_8p23.3",15,17,30,91
"DAZAP1",1,31,7,114
"PCLO",2,30,6,115
"Amplification_17q24.3",10,22,28,93
"TET2",1,31,7,114
"Amplification_7p22.3",8,24,18,103
"SAMHD1",7,25,1,120
"S1PR1",0,32,11,110
"KMT2D",14,18,18,103
"KIAA1671",0,32,9,112
"HLA-C",5,27,10,111
"Deletion_13q12.11",10,22,39,82
"SPEN",5,27,5,116
"SP140",2,30,14,107
"RAD50",5,27,5,116
"CARD11",2,30,11,110
"Deletion_13q14.2",4,28,66,55
"ARID1A",4,28,10,111
"Deletion_9p21.3",6,26,21,100
"Deletion_6q25.3",0,32,27,94
