"names","l","m","n","o"
"ATM",22,11,42,78
"TP53",1,32,18,102
"Amplification-3q22.1-3q22.3",6,27,48,72
"Amplification-8q23.2-8q24.21",6,27,26,94
"Deletion_9p21.1",0,33,24,96
"Deletion_11q22.3",27,6,41,79
"Deletion_TP53",2,31,25,95
"Amplification_15q21.2",16,17,19,101
"Deletion_1p13.1",3,30,26,94
"Wide_peak_1p21.2-22.1",16,17,57,63
"RAD50",1,32,9,111
"PCLO",1,32,7,113
"NOTCH1",0,33,6,114
"SAMHD1",1,32,7,113
"TET2",1,32,7,113
"NSD2",1,32,4,116
"NOTCH2",0,33,6,114
"SMARCA4",5,28,15,105
"CCND1",8,25,9,111
"Amplification_14q32.33",16,17,19,101
"Deletion_13q14.2",22,11,48,72
"S1PR1",2,31,9,111
"Deletion_12p13.2",4,29,9,111
"Deletion_6q25.3",1,32,26,94
"Deletion_9p21.3",0,33,27,93
"CARD11",1,32,12,108
"ANK2",5,28,3,117
"Deletion_13q12.11",10,23,39,81
"SP140",2,31,14,106
"KMT2C",0,33,12,108
"KMT2D",5,28,27,93
"SPEN",1,32,9,111
"DAZAP1",2,31,6,114
"Deletion_6q21",2,31,28,92
"HLA-C",3,30,12,108
