"names","l","m","n","o"
"ATM",16,4,48,85
"TP53",1,19,18,115
"Amplification-3q22.1-3q22.3",3,17,51,82
"Amplification-8q23.2-8q24.21",5,15,27,106
"Deletion_9p21.1",4,16,20,113
"Deletion_11q22.3",11,9,57,76
"Deletion_TP53",5,15,22,111
"Amplification_15q21.2",6,14,29,104
"Deletion_1p13.1",5,15,24,109
"Wide_peak_1p21.2-22.1",12,8,61,72
"RAD50",0,20,10,123
"PCLO",0,20,8,125
"NOTCH1",0,20,6,127
"SAMHD1",0,20,8,125
"TET2",0,20,8,125
"NSD2",0,20,5,128
"NOTCH2",4,16,2,131
"SMARCA4",0,20,20,113
"CCND1",2,18,15,118
"Amplification_14q32.33",2,18,33,100
"Deletion_13q14.2",9,11,61,72
"S1PR1",1,19,10,123
"Deletion_12p13.2",1,19,12,121
"Deletion_6q25.3",16,4,11,122
"Deletion_9p21.3",5,15,22,111
"CARD11",0,20,13,120
"ANK2",1,19,7,126
"Deletion_13q12.11",5,15,44,89
"SP140",1,19,15,118
"KMT2C",2,18,10,123
"KMT2D",3,17,29,104
"SPEN",0,20,10,123
"DAZAP1",1,19,7,126
"Deletion_6q21",19,1,11,122
"HLA-C",0,20,15,118
