"names","l","m","n","o"
"ATM",20,38,44,51
"TP53",3,55,16,79
"Amplification-3q22.1-3q22.3",8,50,46,49
"Amplification-8q23.2-8q24.21",2,56,30,65
"Deletion_9p21.1",5,53,19,76
"Deletion_11q22.3",15,43,53,42
"Deletion_TP53",8,50,19,76
"HLA-C",8,50,7,88
"Deletion_1q21.1-1q21.3",20,38,17,78
"RAD50",4,54,6,89
"NSD2",3,55,2,93
"SP140",12,46,4,91
"Amplification_18q21.33",5,53,8,87
"SMARCA4",8,50,12,83
"S1PR1",2,56,9,86
"BIRC3",0,58,7,88
"PCLO",4,54,4,91
"Amplification_14q32.33",10,48,25,70
"Deletion_17p11.2",17,41,25,70
"SPEN",9,49,1,94
"Amplification-3q23-3q29",16,42,58,37
"ANK2",0,58,8,87
"UBR5",10,48,7,88
"Wide_peak_1p21.2-22.1",38,20,35,60
"Deletion_1p13.1",22,36,7,88
"Deletion_13q12.11",16,42,33,62
"BORCS8-MEF2B",0,58,8,87
"Amplification_13q31.3",1,57,7,88
"KIAA1671",1,57,8,87
"SAMHD1",7,51,1,94
"CCND1",1,57,16,79
"DAZAP1",6,52,2,93
"Deletion_13q14.2",15,43,55,40
"CARD11",4,54,9,86
"NOTCH1",4,54,2,93
