"names","l","m","n","o"
"ATM",27,8,37,81
"TP53",2,33,17,101
"Amplification-3q22.1-3q22.3",4,31,50,68
"Amplification-8q23.2-8q24.21",7,28,25,93
"Deletion_9p21.1",2,33,22,96
"Deletion_11q22.3",31,4,37,81
"Deletion_TP53",1,34,26,92
"HLA-C",3,32,12,106
"Deletion_1q21.1-1q21.3",1,34,36,82
"RAD50",0,35,10,108
"NSD2",0,35,5,113
"SP140",3,32,13,105
"Amplification_18q21.33",6,29,7,111
"SMARCA4",4,31,16,102
"S1PR1",1,34,10,108
"BIRC3",6,29,1,117
"PCLO",1,34,7,111
"Amplification_14q32.33",14,21,21,97
"Deletion_17p11.2",12,23,30,88
"SPEN",0,35,10,108
"Amplification-3q23-3q29",10,25,64,54
"ANK2",3,32,5,113
"UBR5",1,34,16,102
"Wide_peak_1p21.2-22.1",19,16,54,64
"Deletion_1p13.1",2,33,27,91
"Deletion_13q12.11",12,23,37,81
"BORCS8-MEF2B",3,32,5,113
"Amplification_13q31.3",3,32,5,113
"KIAA1671",3,32,6,112
"SAMHD1",1,34,7,111
"CCND1",8,27,9,109
"DAZAP1",2,33,6,112
"Deletion_13q14.2",25,10,45,73
"CARD11",4,31,9,109
"NOTCH1",0,35,6,112
