"names","l","m","n","o"
"ATM",13,30,51,59
"TP53",2,41,17,93
"Amplification-3q22.1-3q22.3",36,7,18,92
"Amplification-8q23.2-8q24.21",18,25,14,96
"Deletion_9p21.1",11,32,13,97
"Deletion_11q22.3",17,26,51,59
"Deletion_TP53",7,36,20,90
"HLA-C",1,42,14,96
"Deletion_1q21.1-1q21.3",12,31,25,85
"RAD50",3,40,7,103
"NSD2",2,41,3,107
"SP140",1,42,15,95
"Amplification_18q21.33",0,43,13,97
"SMARCA4",6,37,14,96
"S1PR1",7,36,4,106
"BIRC3",0,43,7,103
"PCLO",3,40,5,105
"Amplification_14q32.33",6,37,29,81
"Deletion_17p11.2",8,35,34,76
"SPEN",1,42,9,101
"Amplification-3q23-3q29",41,2,33,77
"ANK2",4,39,4,106
"UBR5",3,40,14,96
"Wide_peak_1p21.2-22.1",13,30,60,50
"Deletion_1p13.1",4,39,25,85
"Deletion_13q12.11",10,33,39,71
"BORCS8-MEF2B",5,38,3,107
"Amplification_13q31.3",0,43,8,102
"KIAA1671",3,40,6,104
"SAMHD1",0,43,8,102
"CCND1",5,38,12,98
"DAZAP1",0,43,8,102
"Deletion_13q14.2",17,26,53,57
"CARD11",4,39,9,101
"NOTCH1",2,41,4,106
