Hybridization REF	p	difference	q	subclass
AMPLIFICATION-8Q23.2-8Q24.21	7.6898962408673e-05	0.999264705882353	0.00269146368430356	1
DELETION_11Q22.3	0.00136290464164824	0.4125	0.00954033249153768	1
DELETION_8P23.3	0.0320132519050664	0.315441176470588	0.112046381667732	1
NOTCH2	0.0448294384119088	-0.0470588235294118	0.14263912221971	1
KMT2C	0.0244503589891558	-0.0588235294117647	0.0950847294022726	1
RAD50	0.0073859343732267	-0.0823529411764706	0.0323134628828668	1
AMPLIFICATION_18Q21.33	0.00594513269189055	-0.105882352941176	0.0297256634594527	1
CCND1	0.000669180946737436	-0.129411764705882	0.00585533328395256	1
SP140	0.000363859273768979	-0.141176470588235	0.00424502486063809	1
TP53	0.000196824906080148	-0.152941176470588	0.00344443585640259	1
AMPLIFICATION_17Q24.3	0.0034883771136677	-0.290441176470588	0.0203488664963949	1
AMPLIFICATION_14Q32.33	0.000129820305322848	0.727591036414566	0.000908742137259936	2
DELETION_19P13.3	1.93150159139379e-05	0.561624649859944	0.000169006389246957	2
DELETION_17P13.3	0.00206692941266819	0.432072829131653	0.0103346470633409	2
DELETION_11Q22.3	0.000515250866842305	0.430672268907563	0.00300563005658011	2
NOTCH2	0.0448210096244096	-0.0476190476190476	0.104582355790289	2
KIAA1671	0.0448210096244096	-0.0476190476190476	0.104582355790289	2
NOTCH1	0.0448210096244096	-0.0476190476190476	0.104582355790289	2
KMT2C	0.0244392426967647	-0.0595238095238095	0.0855373494386765	2
RAD50	0.00737665029998526	-0.0833333333333333	0.0322728450624355	2
DELETION_6Q25.3	0.0426146701836312	-0.15546218487395	0.104582355790289	2
AMPLIFICATION_7P22.3	0.0341674380102118	-0.179271708683473	0.104582355790289	2
DELETION_1P13.1	0.0219184107909546	-0.179271708683473	0.0852382641870457	2
DELETION_TP53	1.50025734982681e-05	-0.273809523809524	0.000169006389246957	2
DELETION_8P23.3	1.55832443364628e-09	-0.357142857142857	5.45413551776198e-08	2
AMPLIFICATION_17Q24.3	2.81375567767577e-06	-0.369047619047619	4.9240724359326e-05	2
AMPLIFICATION-3Q22.1-3Q22.3	1.07300805886343e-08	1.42929292929293	3.75552820602201e-07	3
NOTCH2	0.044868630998371	-0.0444444444444444	0.0991623656003214	3
KIAA1671	0.044868630998371	-0.0444444444444444	0.0991623656003214	3
NOTCH1	0.044868630998371	-0.0444444444444444	0.0991623656003214	3
KMT2C	0.0245020955512088	-0.0555555555555556	0.0857573344292308	3
RAD50	0.00742920681420601	-0.0777777777777778	0.0288913598330234	3
CARD11	0.00124351631358049	-0.111111111111111	0.00544038387191464	3
CCND1	0.000681911505081557	-0.122222222222222	0.00346542229828003	3
UBR5	0.000372468945848173	-0.133333333333333	0.00260728262093721	3
DELETION_6Q25.3	4.62009198303495e-06	-0.211111111111111	4.04258048515558e-05	3
AMPLIFICATION_15Q21.2	0.0453313671315755	-0.231313131313131	0.0991623656003214	3
AMPLIFICATION_17Q24.3	0.0440823880198765	-0.242424242424242	0.0991623656003214	3
AMPLIFICATION_14Q32.33	1.58118799196759e-06	-0.311111111111111	1.84471932396219e-05	3
DELETION_11Q22.3	0.0312224188120989	-0.318181818181818	0.0991623656003214	3
AMPLIFICATION-8Q23.2-8Q24.21	5.25973078110756e-07	-0.388888888888889	9.20452886693823e-06	3
WIDE_PEAK_1P21.2-22.1	0.000693084459656007	-0.431313131313131	0.00346542229828003	3
RAD50	0.0227334632680046	0.394194756554307	0.0857228085369239	4
DELETION_9P21.1	0.0272612650331793	0.387640449438202	0.0867403887419341	4
NOTCH2	0.0448611627818507	-0.0449438202247191	0.112152906954627	4
KIAA1671	0.0448611627818507	-0.0449438202247191	0.112152906954627	4
PCLO	0.0244922310105497	-0.0561797752808989	0.0857228085369239	4
KMT2C	0.0244922310105497	-0.0561797752808989	0.0857228085369239	4
CCND1	0.0006794728702207	-0.123595505617978	0.00396359174295408	4
SP140	0.000370817399918013	-0.134831460674157	0.00259572179942609	4
TP53	0.000201421176591235	-0.146067415730337	0.00176243529517331	4
AMPLIFICATION_14Q32.33	0.0428096114837987	-0.220037453183521	0.112152906954627	4
DELETION_1P13.1	1.21572998684018e-06	-0.235955056179775	4.25505495394063e-05	4
DELETION_TP53	1.58867636728487e-05	-0.258426966292135	0.000278018364274852	4
DELETION_17P13.3	0.00622209968868322	-0.298689138576779	0.0311104984434161	4
AMPLIFICATION-3Q22.1-3Q22.3	7.38157600619344e-05	-0.523408239700375	0.000861183867389235	4
DELETION_TP53	0.00127563400712703	0.669344042838019	0.022323595124723	5
DELETION_6Q21	0.000940496872370981	0.478580990629183	0.022323595124723	5
DELETION_17P13.3	0.00460806020096565	0.389558232931727	0.0414943291227635	5
TP53	0.00579837097595668	0.384203480589023	0.0414943291227635	5
DELETION_6Q25.3	0.0223650763506121	0.311914323962517	0.111825381753061	5
NOTCH2	0.04160473901626	0.222222222222222	0.174270314535415	5
NOTCH1	0.0448123665948209	-0.0481927710843374	0.174270314535415	5
AMPLIFICATION_18Q21.33	0.00592776130325193	-0.108433734939759	0.0414943291227635	5
DELETION_11Q22.3	0.0156000540620851	-0.295850066934404	0.0910003153621631	5
DELETION_1P13.1	0.000117274448042414	0.617054263565891	0.000684100946914082	7
WIDE_PEAK_1P21.2-22.1	2.96812214723095e-07	0.537984496124031	8.44715017133428e-06	7
NOTCH2	0.0448376608172536	-0.0465116279069767	0.0980823830377422	7
KIAA1671	0.0448376608172536	-0.0465116279069767	0.0980823830377422	7
NOTCH1	0.0448376608172536	-0.0465116279069767	0.0980823830377422	7
PCLO	0.0244612065693308	-0.0581395348837209	0.0713451858272148	7
RAD50	0.0073949986574282	-0.0813953488372093	0.0258824953009987	7
CCND1	0.00067183801444732	-0.127906976744186	0.00293929131320703	7
DELETION_15Q26.2	0.000106624012934181	-0.162790697674419	0.000684100946914082	7
DELETION_6Q21	0.0370759006911401	-0.177519379844961	0.0980823830377422	7
DELETION_9P21.1	3.03373306091083e-05	-0.186046511627907	0.000265451642829698	7
AMPLIFICATION_14Q32.33	0.0096474882544732	-0.247286821705426	0.0306965535369602	7
DELETION_TP53	1.53645266007375e-05	-0.267441860465116	0.000179252810341937	7
DELETION_17P13.3	0.000469109463425404	-0.328682170542636	0.00234554731712702	7
AMPLIFICATION-3Q22.1-3Q22.3	0.00566271885233324	-0.404651162790698	0.0220216844257404	7
AMPLIFICATION-8Q23.2-8Q24.21	4.82694295504816e-07	-0.406976744186047	8.44715017133428e-06	7
AMPLIFICATION_17Q24.3	9.05179737826639e-06	1.44850187265918	0.000158406454119662	8
AMPLIFICATION_15Q21.2	7.94607859392608e-05	0.98689138576779	0.000695281876968532	8
NOTCH2	0.0448611627818507	-0.0449438202247191	0.157014069736477	8
KIAA1671	0.0448611627818507	-0.0449438202247191	0.157014069736477	8
RAD50	0.00742094808053871	-0.0786516853932584	0.0371047404026935	8
DELETION_12P13.2	0.00124001038103881	-0.112359550561798	0.00723339388939306	8
CARD11	0.00124001038103881	-0.112359550561798	0.00723339388939306	8
KMT2D	8.71766271795833e-06	-0.202247191011236	0.000158406454119662	8
AMPLIFICATION_7P22.3	5.13745861467973e-05	-0.235955056179775	0.000599370171712635	8
DELETION_8P23.3	0.0214172904202611	-0.24250936329588	0.0937006455886423	8
