Hybridization REF	p	difference	q	subclass
AMPLIFICATION-3Q22.1-3Q22.3	8.46707260600206e-10	1.1871234939759	1.48173770605036e-08	1
AMPLIFICATION-3Q23-3Q29	5.98349698277063e-12	1.11219879518072	2.09422394396972e-10	1
DELETION_TP53	0.014441651236657	0.297816265060241	0.072208256183285	1
BIRC3	0.0244278475884526	-0.0602409638554217	0.0854974665595841	1
NOTCH2	0.0244278475884526	-0.0602409638554217	0.0854974665595841	1
SAMHD1	0.0133985030978238	-0.072289156626506	0.072208256183285	1
DAZAP1	0.00736713835383533	-0.0843373493975904	0.0515699684768473	1
UBR5	0.000194382945174409	-0.156626506024096	0.00226780102703477	1
DELETION_11Q22.3	0.0439255245218663	-0.205572289156627	0.139763032569575	1
AMPLIFICATION_15Q21.2	0.00364397444848552	-0.21460843373494	0.0318847764242483	1
ATM	0.0243246710955075	-0.219879518072289	0.0854974665595841	1
DELETION_11Q22.3	1.35983956135437e-06	0.461322081575246	3.48130638845976e-05	2
AMPLIFICATION_14Q32.33	0.000152907448645112	0.456751054852321	0.00133794017564473	2
DELETION_13Q14.2	6.48712577955976e-05	0.393108298171589	0.000756831340948639	2
DELETION_19P13.3	0.000812176840356225	0.337904360056259	0.00406088420178112	2
AMPLIFICATION_15Q21.2	0.00607779748387269	0.330520393811533	0.0212722911935544	2
ATM	0.0124470727108077	0.2542194092827	0.0335113496060207	2
BIRC3	0.0231086757834876	0.138888888888889	0.0550019841395327	2
NOTCH2	0.0243792582694605	-0.0632911392405063	0.0550019841395327	2
RAD50	0.00732663558931128	-0.0886075949367089	0.0213693538021579	2
PCLO	0.00732663558931128	-0.0886075949367089	0.0213693538021579	2
DELETION_9P21.1	0.00139259530479419	-0.174753867791842	0.00609260445847458	2
DELETION_6Q21	0.00350498510481135	-0.184950773558369	0.0136304976298219	2
DELETION_9P21.3	0.000769937227031336	-0.187412095639944	0.00406088420178112	2
DELETION_8P23.3	0.0251437641780721	-0.197960618846695	0.0550019841395327	2
AMPLIFICATION-3Q23-3Q29	0.000437450277365492	-0.479254571026723	0.00306215194155844	2
AMPLIFICATION-3Q22.1-3Q22.3	1.98931793626272e-06	-0.547116736990155	3.48130638845976e-05	2
WIDE_PEAK_1P21.2-22.1	0.000414219231854715	0.43577430972389	0.00181220913936438	3
DELETION_1P13.1	0.035445778641976	0.289315726290516	0.0775376407793225	3
SAMHD1	0.0243238175999408	0.28391356542617	0.0573381992501918	3
NSD2	0.0449226355898051	-0.0408163265306122	0.0924877791554811	3
BIRC3	0.0245735139643679	-0.0510204081632653	0.0573381992501918	3
ANK2	0.00748911232104172	-0.0714285714285714	0.0201629947104969	3
RAD50	0.00748911232104172	-0.0714285714285714	0.0201629947104969	3
BORCS8-MEF2B	0.00748911232104172	-0.0714285714285714	0.0201629947104969	3
S1PR1	0.00126906949116164	-0.102040816326531	0.00493527024340638	3
TP53	0.000384566533694826	-0.122448979591837	0.00181220913936438	3
CCND1	0.000384566533694826	-0.122448979591837	0.00181220913936438	3
DELETION_11Q22.3	0.00471414419157797	-0.333733493397359	0.0164995046705229	3
DELETION_19P13.3	1.42780072131424e-10	-0.346938775510204	4.99730252459984e-09	3
DELETION_13Q14.2	0.000266084722992184	-0.392557022809124	0.00181220913936438	3
AMPLIFICATION-8Q23.2-8Q24.21	9.74488357489474e-08	-0.408163265306122	1.70535462560658e-06	3
AMPLIFICATION-3Q22.1-3Q22.3	0.000367450108327564	-0.433373349339736	0.00181220913936438	3
AMPLIFICATION-3Q23-3Q29	8.75960655521226e-05	-0.53781512605042	0.0010219540981081	3
DELETION_6Q25.3	5.46405827599117e-05	0.565789473684211	0.000637473465532303	4
DELETION_6Q21	0.000266178618661656	0.505263157894737	0.00232906291328949	4
AMPLIFICATION_7P22.3	0.0275928207141355	0.413157894736842	0.0689820517853388	4
DELETION_9P21.1	0.00522625660214508	0.365789473684211	0.0237613396921024	4
DELETION_9P21.3	0.00651416989827993	0.355263157894737	0.0237613396921024	4
BIRC3	0.0245481919940873	-0.0526315789473684	0.0660912861379273	4
SAMHD1	0.0135162503880225	-0.0631578947368421	0.0394223969650656	4
ANK2	0.00746784961751791	-0.0736842105263158	0.0237613396921024	4
DAZAP1	0.00746784961751791	-0.0736842105263158	0.0237613396921024	4
PCLO	0.00746784961751791	-0.0736842105263158	0.0237613396921024	4
SPEN	0.00413053625635386	-0.0842105263157895	0.0237613396921024	4
CARD11	0.00228334439764044	-0.0947368421052632	0.0159834107834831	4
DELETION_15Q26.2	1.75605852787641e-05	-0.178947368421053	0.000307310242378372	4
AMPLIFICATION_14Q32.33	2.64249151884378e-07	-0.326315789473684	9.24872031595323e-06	4
DAZAP1	0.0493578123938953	0.371428571428571	0.0751097145124494	5
