MCL-28	UNMC-59	HUMC-8	UNMC-81	UNMC-18	HUMC-7	UNMC-16	UNMC-7	S92-5	UNMC-33	WCM062	GROUP4-9	UNMC-68-A2	M47-024	SPECS-3163	UNMC-5	S94-7	GROUP7-1	M47-027	SPECS-3155	GROUP7-15	WCM032	HUMC3	IA04	HUMC-15	IA1857	GROUP6-2	GROUP5-9	GROUP4-2	UNMC-62	SPECS-1917	IA2852	MCL-38	GROUP5-6	MCL-138	GROUP4-7	MCL-98	GROUP7-17	M47-029	M22-51	HUMC-6	S03-3	MCL-14	MCL-37	MCL-33	IA2268	GROUP4-1	GROUP4-4	MCL-40	GROUP7-13	UNMC-20	UNMC-69	SPECS-3158	IA4227	GROUP6-4	GROUP6-3	UNMC-28	SPECS-3157	MCL-39	MCL-42	UNMC-90	UNMC-48	GROUP7-6	GROUP5-4	IA68	GROUP7-11	UNMC-6	SC86-6	IA4885	UNMC-55	UNMC-47	UNMC-87	GROUP7-9	GROUP7-20	GROUP5-10	UNMC-64	IA2745	HUMC4	UNMC-79-C1	IA2084	IA4203	IA1147	UNMC-61	MCL-128	GROUP7-14	GROUP4-6	GROUP7-2	HUMC5	MCL-35	MCL-75	UNMC-24	M47-023	UNMC-86	GROUP5-1	GROUP5-5	UNMC-8	GROUP6-1	UNMC-23	MCL-71	IA4289	S08-1	UNMC-84	SC02-11	UNMC-44	M47-022	BC04	HUMC-9	GROUP7-22	M47-3	UNMC-51	GROUP4-3	WCM045	UNMC-31	GROUP7-5	GROUP4-8	UNMC-97	HUMC1	MCL-61	S87-4	UNMC-85	SC08-2	S06-166	IA2334	MCL-122	GROUP5-3	GROUP5-7	S89-9	GROUP4-5	M47-025	IA834	HUMC-12	UNMC-88	GROUP4-11	UNMC-39	MCL-25	HUMC-10	GROUP7-19	GROUP5-8	SPECS-3164	UNMC-71-A5	MCL-24	UNMC-37	IA-02	GROUP7-3	S03-8	GROUP5-2	GROUP4-10	MCL-45	MCL-109	SC01-10	WCM041	MCL-146	MCL-126
MCL-28	1	0.595025517673701	0.286217137096263	0.456440448024399	0.716310062760826	0.113312242269381	-0.0477489612948032	0.323431114824128	-0.0726752374667264	0.0543941593338849	0.118678165819385	-0.0477489612948032	-0.00555761431254879	0.572525013571611	-0.0163325450348501	0.209360830292598	-0.0477489612948032	-0.0726752374667264	-0.0197796943032309	0.622186230145431	0.644531166952196	-0.0536742200223385	0.317619544060255	0.0543941593338849	0.135161244405411	0.353944202856899	-0.0726752374667264	0.0197796943032309	0.480733638035471	0.013052857975079	-0.0623840659361663	0.317619544060255	0.644531166952196	0.0543941593338849	0.270802947152258	0.169575554089028	0.684581763504782	-0.0197796943032309	0.46647062188	0.169575554089028	0.257136025942002	0.481305894711952	0.113312242269381	-0.0163325450348501	0.589201877934272	-0.0197796943032309	0.411826345644783	0.013052857975079	0.0543941593338849	0.612851413035896	0.43708545856154	0.128319700089426	0.0506923189099864	-0.0403221461656951	0.839733863063414	-0.0197796943032309	0.772508389444282	-0.0477193448101172	0.0543941593338849	0.0413650774281303	0.393916351003329	0.113312242269381	0.013052857975079	0.118678165819385	-0.21667569500872	0.521101993172925	0.427274779095945	0.183855423910769	-0.158237554425847	0.416218729732689	0.013052857975079	-0.118678165819385	0.251546456441376	-0.118678165819385	0.257136025942002	0.595025517673701	0.395593886064618	-0.0954208355952684	0.318005889086889	0.469902887102843	0.0543941593338849	0.0808059344988977	0.215375443349165	0.73951147586333	0.63491119199255	0.0197796943032309	0.816717937126103	-0.158237554425847	0.682821902375908	NA	-0.139230485067509	-0.176303857088504	-0.176303857088504	-0.139230485067509	-0.0954208355952684	0.589172651389675	0.518550143466008	0.561456593425497	0.73951147586333	NA	0.103137045109261	-0.00633457186321072	0.183855423910769	0.561456593425497	0.286217137096263	-0.118678165819385	-0.0197796943032309	-0.158237554425847	0.337915726086299	0.0197796943032309	-0.118678165819385	-0.00633457186321072	0.63491119199255	0.257136025942002	0.013052857975079	0.450405280578911	-0.0954208355952684	0.436213543787556	-0.139230485067509	0.104520435742977	-0.193800633244604	0.170360266998841	-0.0664730688023436	-0.0954208355952684	0.353509706971609	0.573611134793696	-0.118678165819385	0.740242562002413	-0.139230485067509	0.0979952702091008	0.596687444814132	0.768060094947595	-0.0726752374667264	0.561456593425497	-0.118678165819385	0.481305894711952	0.2721924450077	0.0808059344988977	-0.0664730688023436	0.317619544060255	0.73951147586333	0.669634346428855	0.418278016276448	0.337915726086299	NA	0.227466484487155	0.113312242269381	0.515166283218163	0.682821902375908	0.469902887102843	NA	NA	-0.111312596626598
UNMC-59	0.595025517673701	1	0.0695678476053965	0.4772396983302	0.713241463491055	0.214625462533077	0.195402298850575	0.45214594510496	-0.0379049021789452	0.131534197875412	0.46423834544263	0.195402298850575	0.373927180879006	0.345267048422777	0.20444383868582	0.396551724137931	0.195402298850575	0.151619608715781	0.46423834544263	0.551441633735729	0.510274772584435	0.0186630836985285	0.313164384590661	0.402339899383612	0.113480484441532	0.382838790283471	-0.0379049021789452	0.294017618780332	0.526106847515811	0.0748871354455929	-0.032537381359337	0.313164384590661	0.510274772584435	0.402339899383612	0.252747939216272	0.341144119610507	0.550056597575557	0.247593784236069	0.396551724137931	0.341144119610507	0.46423834544263	0.474554753119133	0.214625462533077	0.20444383868582	0.46647062188	0.247593784236069	0.530668630505232	0.313164384590661	0.131534197875412	0.551382796708192	0.59965687539547	0.470011040449329	0.345267048422777	0.33487255323161	0.568461437246091	0.247593784236069	0.526106847515811	0.45214594510496	0.402339899383612	0.10002769316032	0.165009663911228	0.214625462533077	0.313164384590661	0.247593784236069	-0.254273813857804	0.337122722883804	0.379544500471817	0.0479463301485384	-0.185695338177052	0.306961467318963	0.0748871354455929	0.131534197875412	0.444932255418238	-0.139271503632789	0.247593784236069	0.396551724137931	0.46423834544263	0.214625462533077	0.255515479209668	0.551441633735729	0.131534197875412	-0.00574712643678161	0.0792934711266737	0.541229427257326	0.331147822335133	-0.0670566498972687	0.379544500471817	0.0309492230295086	0.489687549520478	NA	-0.163390113699475	-0.206896551724138	-0.00574712643678161	0.0748871354455929	0.214625462533077	0.543670769392376	0.569306418589962	0.618210245827402	0.541229427257326	NA	-0.0358618216434622	-0.094160996962925	0.0479463301485384	0.455523339030717	0.0695678476053965	-0.139271503632789	0.0309492230295086	0.0309492230295086	0.195402298850575	0.113480484441532	-0.139271503632789	0.0792934711266737	0.331147822335133	0.247593784236069	0.0748871354455929	0.433690874119655	-0.111978502191171	-0.105911675110927	-0.163390113699475	0.252747939216272	-0.0379049021789452	0.199921614733419	-0.0780076451238516	-0.111978502191171	0.455523339030717	0.402339899383612	-0.139271503632789	0.425481471698382	0.0748871354455929	0.20444383868582	0.655091887457933	0.406484790684069	0.151619608715781	0.292836432234033	-0.139271503632789	0.113480484441532	0.389737424729844	0.195402298850575	-0.0780076451238516	0.313164384590661	0.541229427257326	0.562220556386005	0.412410948899815	0.396551724137931	NA	0.131534197875412	0.214625462533077	0.377036951431949	0.489687549520478	0.313164384590661	NA	NA	0.0598710942961581
HUMC-8	0.286217137096263	0.0695678476053965	1	-0.0328232597569003	0.231258460130659	0.120016280129042	0.0695678476053965	0.0188296056728532	-0.114707866935281	0.0468292905790847	0.444878260501305	0.373927180879006	0.30921052631579	0.391817855715403	0.502684182722919	0.221747514242201	0.373927180879006	0.458831467741124	0.280975743474508	0.175118199228945	0.100311829011446	0.0211793435521839	0.535655668229714	0.0468292905790847	0.265365979948147	0.188404532091324	0.172061800402921	0.265365979948147	0.194078947368421	0.175118199228945	0.270777837200746	0.35538693372933	0.100311829011446	0.25170743686258	0.286824810049478	0.172061800402921	0.021902395126577	0.280975743474508	0.0695678476053965	0.315446634072023	0.608780777528101	0.538536841659474	0.120016280129042	0.232008084333655	0.286217137096263	0.444878260501305	0.172061800402921	0.35538693372933	0.25170743686258	0.308327406296755	0.0899842541331695	-0.0103569033124895	0.26827168499433	0.0587473495446047	0.239499890121939	0.280975743474508	0.30921052631579	0.0188296056728532	0.25170743686258	0.0356122284897881	0.829806312317541	0.120016280129042	0.35538693372933	0.117073226447712	0.0480927352539916	-0.136422259656987	0.0158061204718432	0.181369062527503	0.280975743474508	0.0188296056728532	-0.00515053527143956	-0.158048855704411	-0.0614967245774762	-0.158048855704411	-0.210731807605881	0.221747514242201	0.280975743474508	0.120016280129042	-0.244181461090672	-0.185419269771824	-0.158048855704411	-0.0826118190314083	0.483665365965786	-0.127076061313104	0.231258460130659	0.40195141080381	0.292413228729099	0.280975743474508	-0.151557252304048	NA	0.175118199228945	0.373927180879006	0.221747514242201	-0.185419269771824	0.120016280129042	-0.0536496922049345	-0.125482139727151	-0.0984646680729985	-0.127076061313104	NA	0.434100375272306	0.483665365965786	0.0544107187582509	0.0246161670182496	0.30921052631579	0.25170743686258	-0.210731807605881	0.117073226447712	-0.234791485668213	-0.00780488176318079	0.0468292905790847	0.0899842541331695	0.327616151851766	-0.0468292905790847	-0.00515053527143956	0.300766564491117	0.120016280129042	0.503022727418257	0.175118199228945	0.0899842541331695	0.315446634072023	0.17497637651657	0.255739079493506	0.120016280129042	0.0246161670182496	-0.158048855704411	0.0468292905790847	0.304014922494629	0.175118199228945	0.367346133528287	0.265365979948147	0.320896912380419	-0.258092700604382	0.516939507383242	-0.158048855704411	0.265365979948147	-0.0364770287314348	0.221747514242201	-0.0885250659785213	-0.185419269771824	-0.127076061313104	-0.174006063250241	-0.00678281836362978	0.221747514242201	NA	0.661463729429571	-0.127076061313104	-0.0885250659785213	-0.0336793894008995	-0.00515053527143956	NA	NA	0.428248334403879
UNMC-81	0.456440448024399	0.4772396983302	-0.0328232597569003	1	0.532513748858357	0.00541880073968629	-0.223601816700164	0.392635460729814	0.176090181265125	0.0853676121193888	0.0718885154689589	0.126818940815018	0.0555470549732159	0.536461273228943	-0.0445199909962779	0.126818940815018	-0.106794897528436	0.0660338179744218	0.0718885154689589	0.423007516292217	0.580964368611388	0.251974234395413	-0.130460262034048	0.242623739707736	0.22165625602929	0.46621069810423	-0.0440225453162812	0.0119814192448265	0.409028313893681	0.146273627129084	0.0566831041511104	0.28464057171065	0.580964368611388	-0.071888515468959	0.0129502971695619	0.176090181265125	0.554775777040326	0.0718885154689589	0.4772396983302	0.176090181265125	0.0718885154689589	0.116818837637058	0.00541880073968629	0.163239966986352	0.232486022591867	0.0718885154689589	0.396202907846531	0.00790668254751807	0.0853676121193888	0.403713383632536	0.46621069810423	0.386877492122243	0.251974234395413	0.107093677631022	0.393357456739024	-0.0539163866017192	0.585768943353913	0.224019005201673	-0.071888515468959	0.184507857126878	-0.0901841495840187	0.195076826628707	0.00790668254751807	0.323498319610315	0.356835589027915	0.528113577354888	0.612672809695167	0.306265325514338	0.323498319610315	0.645560144022025	-0.130460262034048	-0.071888515468959	0.35526004184089	-0.229144643057307	0.197693417539637	0.126818940815018	0.449303221680993	-0.184239225149334	0.374847505178518	0.423007516292217	-0.071888515468959	0.243625859986746	0.264761631022155	0.574392878406747	0.458553505961363	0.116818837637058	0.471131236498264	0.0718885154689589	0.504093110122341	NA	0.00790668254751807	0.126818940815018	-0.106794897528436	0.00790668254751807	-0.184239225149334	0.562784046379785	0.374847505178518	0.529042305410364	0.574392878406747	NA	0.0624745841964197	0.0633125639400806	0.403713383632536	0.529042305410364	0.585768943353913	0.242623739707736	-0.0539163866017192	-0.0539163866017192	0.126818940815018	0.326493674421522	-0.229144643057307	-0.0374119696009567	0.384593263064369	0.0718885154689589	0.00790668254751807	0.272830025275879	0.00541880073968629	-0.174257420619829	-0.268827206615614	0.164037097481118	-0.154078908606984	0.209424349640731	-0.128346672013941	-0.184239225149334	0.434570465158513	0.399879867296084	-0.071888515468959	0.42551964482374	-0.268827206615614	0.0593599879950372	0.326493674421522	0.4413007781679	0.0660338179744218	-0.0377887361007403	-0.071888515468959	0.431331092813754	0.464304856842033	0.243625859986746	-0.128346672013941	0.28464057171065	0.574392878406747	0.474879903960298	0.465956273798297	0.243625859986746	NA	-0.071888515468959	0.00541880073968629	0.400139624514053	0.59457136065712	0.423007516292217	NA	NA	-0.104300940390712
UNMC-18	0.716310062760826	0.713241463491055	0.231258460130659	0.532513748858357	1	0.0413600645122972	0.0764187282311845	0.422870878395815	-0.0960030721474639	-0.0342939538230459	0.274351630584367	0.331147822335133	0.231258460130659	0.579040903172161	0.11326920156627	0.331147822335133	0.203783275283159	0.264008448405526	0.274351630584367	0.51296915786417	0.694532836386544	0.0620400967684458	0.362095876139414	0.137175815292184	0.205763722938275	0.510702758649596	0.024000768036866	0.320076902348428	0.713046918736197	0.0603493126899023	0.0206021410857582	0.362095876139414	0.605490165054936	0.137175815292184	0.26358852059334	0.384012288589855	0.65991201759609	0.274351630584367	0.458512369387107	0.384012288589855	0.411527445876551	0.434390081758581	0.0413600645122972	0.11326920156627	0.553512321224275	0.411527445876551	0.624019968958515	0.211222594414658	0.137175815292184	0.531279648129052	0.593074171335015	0.42473488142027	0.475640741891418	0.172087073504276	0.739279080451303	0.274351630584367	0.809404610457305	0.239013974745461	0.137175815292184	-0.026079492220837	0.279641494444448	0.0413600645122972	0.211222594414658	0.137175815292184	-0.0939178604746138	0.469116964346536	0.432137580237717	0.318767788877431	0.137175815292184	0.422870878395815	-0.0905239690348534	-0.0342939538230459	0.436130226751902	-0.205763722938275	0.274351630584367	0.458512369387107	0.685879076460918	0.0413600645122972	0.278162252407765	0.51296915786417	-0.0342939538230459	0.203783275283159	0.48324562108779	0.661761032196756	0.516129032258065	-0.0228626358820306	0.740807280407514	0.274351630584367	0.591936923555456	NA	0.0603493126899023	0.0764187282311845	0.0764187282311845	0.0603493126899023	0.0413600645122972	0.553783014582556	0.576193237130371	0.638666373658505	0.661761032196756	NA	0.278162252407765	0.26358852059334	0.212511859251621	0.535655668229714	0.231258460130659	-0.0342939538230459	0.137175815292184	0.274351630584367	0.331147822335133	0.434390081758581	-0.205763722938275	0.153759970346115	0.516129032258065	0.137175815292184	0.0603493126899023	0.480560523162575	0.0413600645122972	0.104317968883348	-0.241397250759609	0.26358852059334	0.024000768036866	0.208496428598461	-0.11525073729837	-0.165440258049189	0.432644962800923	0.480115353522643	-0.0342939538230459	0.703454099604868	-0.0905239690348534	0.226538403132541	0.77732961998904	0.626663284683463	-0.0960030721474639	0.329634257372132	-0.0342939538230459	0.320076902348428	0.605490165054936	0.458512369387107	-0.11525073729837	0.362095876139414	0.661761032196756	0.566346007831352	0.476849575556169	0.331147822335133	NA	0.308645584407413	0.248160387073783	0.461002949193479	0.690593077481366	0.51296915786417	NA	NA	0.0482483322304473
HUMC-7	0.113312242269381	0.214625462533077	0.120016280129042	0.00541880073968629	0.0413600645122972	1	0.214625462533077	0.0875584673883422	0.184637236468999	0.364326208031464	0.251259453814803	0.214625462533077	0.120016280129042	0.0984848484848485	0.207470665721654	0.214625462533077	0.214625462533077	0.184637236468999	0.251259453814803	0.298456439592633	0.123952883510669	0.0984848484848485	0.298456439592633	0.364326208031464	0.159130987416042	0.0663856255679743	0.184637236468999	0.159130987416042	0.120016280129042	0.685344416842342	0.422644518661611	0.298456439592633	0.123952883510669	0.364326208031464	0.0663856255679743	0.184637236468999	0.141019018704442	0.251259453814803	0.214625462533077	0.184637236468999	0.251259453814803	0.159130987416042	0.46969696969697	0.207470665721654	0.113312242269381	0.251259453814803	0.184637236468999	0.298456439592633	0.364326208031464	0.116774841624228	0.136794622382492	0.0815016078203043	0.0984848484848485	0.181242880189743	0.0497427399321055	0.251259453814803	0.120016280129042	0.0875584673883422	0.364326208031464	0.277058823757398	0.181242880189743	0.46969696969697	0.298456439592633	0.251259453814803	-0.137620470640795	-0.114568370511383	-0.124383147451339	-0.155699788832305	-0.100503781525921	-0.148175867887964	0.298456439592633	0.364326208031464	0.159768458211676	-0.0753778361444409	-0.100503781525921	-0.111978502191171	-0.100503781525921	-0.0606060606060606	-0.116456839130972	-0.0884315376570764	-0.0753778361444409	-0.111978502191171	-0.14484136487558	-0.0606060606060606	-0.165440258049189	-0.134005042034562	-0.124383147451339	-0.100503781525921	-0.0722818123532759	NA	0.298456439592633	-0.111978502191171	0.214625462533077	-0.0884315376570764	-0.0606060606060606	-0.153522062157279	-0.116456839130972	-0.105661129665403	-0.0606060606060606	NA	-0.18924236358783	-0.14484136487558	0.116774841624228	-0.105661129665403	-0.127076061313104	-0.0753778361444409	-0.100503781525921	-0.100503781525921	-0.111978502191171	-0.134005042034562	0.364326208031464	0.136794622382492	0.0413600645122972	0.251259453814803	0.298456439592633	0.0293407829258138	0.46969696969697	0.277058823757398	-0.0884315376570764	-0.14484136487558	-0.123091490979333	-0.114568370511383	-0.0422200330920749	-0.0606060606060606	-0.105661129665403	-0.0753778361444409	-0.0753778361444409	-0.153522062157279	-0.0884315376570764	-0.0829882662886615	-0.134005042034562	-0.114783407191697	-0.123091490979333	-0.105661129665403	-0.0753778361444409	-0.134005042034562	-0.169619735330389	-0.111978502191171	-0.0422200330920749	-0.0884315376570764	-0.0606060606060606	-0.0829882662886615	-0.116456839130972	-0.111978502191171	NA	-0.0753778361444409	-0.0606060606060606	-0.0422200330920749	-0.0722818123532759	-0.0884315376570764	NA	NA	-0.0706996321640269
UNMC-16	-0.0477489612948032	0.195402298850575	0.0695678476053965	-0.223601816700164	0.0764187282311845	0.214625462533077	1	0.161776989532967	-0.0379049021789452	0.131534197875412	0.247593784236069	0.195402298850575	0.221747514242201	-0.144638898663596	0.20444383868582	0.396551724137931	0.396551724137931	0.151619608715781	0.247593784236069	0.0748871354455929	-0.0522328507369894	-0.144638898663596	0.551441633735729	0.131534197875412	0.113480484441532	-0.00743376291812566	0.151619608715781	0.113480484441532	0.221747514242201	0.0748871354455929	-0.032537381359337	0.0748871354455929	-0.0522328507369894	0.673145600891813	-0.00743376291812566	0.341144119610507	-0.0289503472408188	0.247593784236069	-0.00574712643678161	0.341144119610507	0.247593784236069	0.113480484441532	0.214625462533077	0.20444383868582	0.0808059344988977	0.46423834544263	0.341144119610507	0.313164384590661	0.131534197875412	0.215758485668423	0.426202407305871	0.310298550976256	0.345267048422777	-0.00485322540915377	0.0919069389559549	0.46423834544263	-0.0826118190314083	0.161776989532967	0.402339899383612	0.10002769316032	0.165009663911228	0.214625462533077	0.313164384590661	0.0309492230295086	-0.105947422440752	-0.211681709717738	-0.10794384875804	-0.119865825371346	-0.185695338177052	-0.273776443825021	0.0748871354455929	-0.139271503632789	-0.154015011490929	0.131534197875412	0.0309492230295086	0.195402298850575	0.0309492230295086	0.214625462533077	-0.215170929860773	-0.163390113699475	-0.139271503632789	0.195402298850575	0.0792934711266737	-0.111978502191171	-0.178310365872764	-0.0670566498972687	-0.10794384875804	0.0309492230295086	-0.133551149869221	NA	-0.163390113699475	-0.206896551724138	-0.00574712643678161	0.0748871354455929	0.541229427257326	-0.283654314465588	-0.058275460170626	-0.195224288156022	-0.111978502191171	NA	-0.0358618216434622	0.0792934711266737	-0.119865825371346	-0.195224288156022	-0.234791485668213	-0.139271503632789	-0.185695338177052	0.0309492230295086	-0.206896551724138	-0.247593784236069	0.131534197875412	0.252747939216272	-0.178310365872764	-0.185695338177052	-0.163390113699475	-0.198774983971509	-0.111978502191171	-0.105911675110927	0.0748871354455929	-0.094160996962925	-0.0379049021789452	-0.0744806015673521	-0.0780076451238516	-0.111978502191171	0.130149525437348	0.131534197875412	-0.139271503632789	-0.0472757190775979	0.0748871354455929	0.0255554798357275	0.113480484441532	-0.0883662588443628	-0.227429413073671	-0.032537381359337	0.131534197875412	-0.247593784236069	-0.0321432927612243	-0.00574712643678161	-0.0780076451238516	-0.163390113699475	-0.111978502191171	-0.153332879014365	0.098620009519521	-0.00574712643678161	NA	0.131534197875412	0.214625462533077	-0.0780076451238516	-0.133551149869221	-0.163390113699475	NA	NA	0.0598710942961581
UNMC-7	0.323431114824128	0.45214594510496	0.0188296056728532	0.392635460729814	0.422870878395815	0.0875584673883422	0.161776989532967	1	-0.0273587827582291	0.0111691762902193	0.223383525804385	0.306961467318963	0.238508338522808	0.535453704413324	0.0553358627182794	0.161776989532967	0.016592511746971	0.383022958615208	0.0670150577413155	0.299740728862977	0.252302189992514	-0.0538821337774414	0.127758343449793	0.0111691762902193	0.323906112416358	0.209254450728534	-0.164152696549375	0.323906112416358	0.348347704947785	-0.04422404196339	-0.0234846443852906	0.127758343449793	0.556804833086927	0.402090346447893	0.115358222837525	0.109435131032917	0.292538616793355	0.379751993867455	0.45214594510496	0.246229044824062	0.0670150577413155	0.193599055697134	0.0875584673883422	0.571803914755554	0.045068270098444	0.223383525804385	0.519816872406354	0.127758343449793	0.206629761369056	0.224941775566944	0.271851935989207	0.487454339457172	0.417586536775171	0.0140117327325023	0.25060290445921	0.0670150577413155	0.458187071372762	0.0568862275449102	0.206629761369056	0.603060754821771	0.0140117327325023	0.0875584673883422	0.127758343449793	0.0670150577413155	-0.122352196058099	0.21503272461843	0.135716095160303	0.224941775566944	0.379751993867455	0.476047904191617	0.127758343449793	-0.184291408788618	0.0123515634556367	0.0111691762902193	0.379751993867455	0.161776989532967	0.379751993867455	0.0875584673883422	0.62121935554995	0.127758343449793	0.206629761369056	0.016592511746971	0.146656965467862	0.323292802664648	0.422870878395815	-0.19732211446054	0.399608502416449	0.223383525804385	0.273115717088021	NA	-0.216206427376573	0.016592511746971	0.161776989532967	0.127758343449793	0.323292802664648	0.307101574801415	0.394733132172364	0.211361799467615	0.323292802664648	NA	0.216779670947118	0.271851935989207	0.224941775566944	0.211361799467615	0.238508338522808	0.402090346447893	0.0670150577413155	0.223383525804385	0.016592511746971	0.323906112416358	0.0111691762902193	0.0214619949465163	0.330942426570638	0.0670150577413155	0.127758343449793	0.11738509131271	-0.148175867887964	-0.1401479218952	-0.04422404196339	0.146656965467862	-0.0273587827582291	0.512117409946523	-0.103223835753666	-0.148175867887964	0.328785021394068	0.402090346447893	0.0111691762902193	0.477713560802201	-0.04422404196339	0.184452875727598	0.193599055697134	0.165829277052731	-0.164152696549375	0.0939385775411624	-0.184291408788618	0.323906112416358	0.194301686545959	0.306961467318963	-0.103223835753666	0.299740728862977	0.323292802664648	0.442686901746235	0.281490020483571	0.016592511746971	NA	0.0111691762902193	0.0875584673883422	0.225215641644363	0.273115717088021	0.299740728862977	NA	NA	-0.0353564303240176
S92-5	-0.0726752374667264	-0.0379049021789452	-0.114707866935281	0.176090181265125	-0.0960030721474639	0.184637236468999	-0.0379049021789452	-0.0273587827582291	1	0.102062072615966	-3.38883757629473e-20	0.151619608715781	0.0286769667338202	0.123091490979333	-2.79824053304935e-20	-0.0379049021789452	-0.0379049021789452	0.107142857142857	-7.81507441063886e-20	0.0449013255066937	-0.079499841000477	0.123091490979333	0.0449013255066937	0.35721725415588	0.0680413817439772	0.073543550676819	-0.0714285714285714	0.23814483610392	-0.114707866935281	0.269407953040162	0.245255735793986	0.0449013255066937	-0.079499841000477	0.102062072615966	0.073543550676819	0.107142857142857	0.0818317088384971	0.204124145231931	0.151619608715781	0.107142857142857	-1.17571915912266e-20	0.0680413817439772	0.492365963917331	-1.42767374135171e-20	-0.0726752374667264	-6.70851520205283e-20	0.107142857142857	0.0449013255066937	0.102062072615966	-0.158113883008419	0.0326860225230307	-0.0601929265428846	-0.0307728727448332	0.128036879932896	-0.0673519882600406	0.204124145231931	0.0286769667338202	0.109435131032917	0.102062072615966	0.0776150525706333	-0.032009219983224	0.184637236468999	0.0449013255066937	-5.04867638917378e-20	-8.52310462159174e-21	-0.232689460497759	-0.0229657606087313	-0.316227766016838	-3.38883757629473e-20	-0.300946610340521	-0.179605302026775	-0.153093108923949	-0.16929979439493	-0.153093108923949	1.07197923331772e-20	-0.227429413073671	-0.204124145231931	-0.123091490979333	0.0591312395989083	-0.179605302026775	-0.153093108923949	-0.227429413073671	0.0326860225230307	-0.123091490979333	-0.216006912331794	-0.102062072615966	-0.252623366696044	1.03739925804941e-20	-0.146805054878676	NA	-0.179605302026775	-0.0379049021789452	0.151619608715781	0.269407953040162	-0.123091490979333	-0.200445931434318	-0.0886968593983624	-0.214598768819738	-0.123091490979333	NA	-0.236524958395633	-0.130744090092123	-0.316227766016838	-0.214598768819738	0.0286769667338202	-0.153093108923949	0.204124145231931	0.204124145231931	-0.0379049021789452	-0.102062072615966	-0.153093108923949	-0.130744090092123	-0.216006912331794	-0.204124145231931	-0.179605302026775	-0.357548470967097	-0.123091490979333	-0.11642257885595	-0.179605302026775	0.359546247753337	0.285714285714286	-0.103417537999004	-0.0857492925712544	-0.123091490979333	-0.0613139339484966	-0.153093108923949	0.35721725415588	-0.0890870806374748	-0.179605302026775	-0.168549965615811	-0.272165526975909	-0.233126202060078	-0.0714285714285714	-0.0613139339484966	0.102062072615966	-0.272165526975909	-0.211999576001272	-0.0379049021789452	-0.0857492925712544	0.0449013255066937	-0.123091490979333	-0.168549965615811	-0.236524958395633	-0.227429413073671	NA	-0.153093108923949	-0.123091490979333	-0.0857492925712544	-0.146805054878676	0.0449013255066937	NA	NA	-0.143591631723548
UNMC-33	0.0543941593338849	0.131534197875412	0.0468292905790847	0.0853676121193888	-0.0342939538230459	0.364326208031464	0.131534197875412	0.0111691762902193	0.102062072615966	1	0.166666666666667	0.131534197875412	0.0468292905790847	0.0125629726907402	0.137620470640795	0.131534197875412	0.131534197875412	0.102062072615966	0.166666666666667	0.210805227843195	0.0595020693310884	0.232414994778693	0.210805227843195	0.270833333333333	0.0763888888888889	0.170136163417905	0.35721725415588	0.0763888888888889	0.0468292905790847	0.210805227843195	0.0876095805063078	0.210805227843195	0.0595020693310884	0.270833333333333	-0.00500400480640897	0.35721725415588	0.0779511955577904	0.166666666666667	0.131534197875412	0.102062072615966	0.166666666666667	0.0763888888888889	0.364326208031464	0.137620470640795	0.0543941593338849	0.166666666666667	0.102062072615966	0.210805227843195	0.270833333333333	0.258198889747161	0.0533760512683624	0.208876104552771	0.0125629726907402	0.11107552936648	-0.0183308893776692	0.166666666666667	0.0468292905790847	0.206629761369056	0.270833333333333	0.205960381420455	0.11107552936648	0.80403025220737	0.531595791952406	0.458333333333333	0.0285272165367274	0.226932677869903	0.00937573250771687	-0.193649167310371	-0.125	0.0111691762902193	-0.109985336266015	-0.09375	-0.103674527456421	0.270833333333333	-0.125	-0.139271503632789	-0.125	-0.0753778361444409	-0.14484136487558	-0.109985336266015	-0.09375	0.131534197875412	-0.180144173030723	-0.0753778361444409	-0.205763722938275	0.0763888888888889	-0.154699586377328	-0.125	-0.0898993690285095	NA	-0.109985336266015	-0.139271503632789	-0.139271503632789	-0.109985336266015	-0.0753778361444409	-0.0318234423260822	-0.14484136487558	-0.131414370759462	-0.0753778361444409	NA	-0.235367217922818	-0.180144173030723	0.0322748612183951	-0.131414370759462	-0.158048855704411	-0.09375	-0.125	-0.125	-0.139271503632789	-0.166666666666667	-0.09375	-0.180144173030723	-0.0342939538230459	-0.125	-0.109985336266015	-0.0486561840100952	-0.0753778361444409	-0.0712939781840038	-0.109985336266015	-0.180144173030723	-0.153093108923949	-0.142492611685753	-0.0525105031510504	-0.0753778361444409	-0.131414370759462	-0.09375	-0.09375	-0.190940653956493	-0.109985336266015	-0.103215352980596	-0.166666666666667	0.02379334336334	0.102062072615966	-0.131414370759462	-0.09375	0.0763888888888889	0.167687649933067	-0.139271503632789	-0.0525105031510504	-0.109985336266015	-0.0753778361444409	-0.103215352980596	0.0663856255679743	0.131534197875412	NA	-0.09375	-0.0753778361444409	-0.0525105031510504	-0.0898993690285095	-0.109985336266015	NA	NA	-0.0879315572640824
