"","coef","exp(coef)","se(coef)","z","Pr(>|z|)","CI_Lower","CI_Upper","Gene"
"df[, 1]Mutated:Transplant0",-17.420559047006,2.71861265518681e-08,2456.59105783898,-0.00709135490476407,0.994341964827587,-4832.25055715456,4797.40943906055,"KMT2C"
"df[, 1]Non-Mutated:Transplant0",-0.739167607532703,0.47751122688691,0.279254704667384,-2.64692982849874,0.00812262059344668,-1.28649677119414,-0.191838443871262,"KMT2C"
"df[, 1]Mutated:Transplant1",0.46506622244414,1.59211961944869,0.722948130446901,0.643291272026187,0.520035118573878,-0.951886075922349,1.88201852081063,"KMT2C"
"df[, 1]Non-Mutated:Transplant1",NA,NA,0,NA,NA,NA,NA,"KMT2C"
