"names","l","m","n","o"
"ATM",4,13,60,76
"TP53",12,5,7,129
"Amplification-3q22.1-3q22.3",6,11,48,88
"Amplification-8q23.2-8q24.21",5,12,27,109
"Deletion_9p21.1",6,11,18,118
"Deletion_11q22.3",5,12,63,73
"Deletion_TP53",11,6,16,120
"HLA-C",3,14,12,124
"Deletion_1q21.1-1q21.3",4,13,33,103
"RAD50",3,14,7,129
"NSD2",0,17,5,131
"SP140",0,17,16,120
"Amplification_18q21.33",2,15,11,125
"SMARCA4",2,15,18,118
"S1PR1",1,16,10,126
"BIRC3",1,16,6,130
"PCLO",0,17,8,128
"Amplification_14q32.33",5,12,30,106
"Deletion_17p11.2",5,12,37,99
"SPEN",0,17,10,126
"Amplification-3q23-3q29",7,10,67,69
"ANK2",1,16,7,129
"UBR5",3,14,14,122
"Wide_peak_1p21.2-22.1",3,14,70,66
"Deletion_1p13.1",1,16,28,108
"Deletion_13q12.11",11,6,38,98
"BORCS8-MEF2B",0,17,8,128
"Amplification_13q31.3",4,13,4,132
"KIAA1671",2,15,7,129
"SAMHD1",0,17,8,128
"CCND1",3,14,14,122
"DAZAP1",0,17,8,128
"Deletion_13q14.2",13,4,57,79
"CARD11",1,16,12,124
"NOTCH1",0,17,6,130
