GENE,MYC.cn,MYC,MYC.gep.median.centered,,PIK3CA.cn,PIK3CA.gep,PIK3CA.gep.median.centered,EIF4G1.cn,EIF4G1.gep,EIF4G1.gep.median.centered,ATR.cn,ATR.gep,ATR.gep.median.centered,CPSF1.cn,CPSF1.gep,CPSF1.gep.median.centered,TOPBP1.cn,TOPBP1.gep,TOPBP1.gep.median.centered,CCNE2.cn,CCNE2.gep,CCNE2.gep.median.centered,SKIL.cn,SKIL.gep,SKIL.gep.median.centered,RUVBL1.cn,RUVBL1.gep,TFDP2.cn,TFDP2.gep,TFDP2.gep.median.centered,PAK2.cn,PAK2.gep,PAK2.gep.median.centered,ISY1.cn,ISY1.gep,PUF60.cn,PUF60.gep,DVL3.cn,DVL3.gep,DVL3.gep.median.centered,PDCD10.cn,PDCD10.gep,SERPINI1.cn,SERPINI1.gep
1_64,1,3.262067,0.622067,0.614347,1,3.25863,-0.156591,1,5.357171,0.036875,1,4.165707951,-0.066482049,1,3.834028,-0.232955,1,3.834028,-0.309425,1,0.241960863,-0.320603137,1,4.305493,-0.571233,1,2.012821,1,3.597447,-0.302381,1,4.7897,0.240262,1,1.561461,1,2.774664,1,4.264104,0.065641,1,2.076664,1,1.019431
1_68,0,1.846542,-0.793458,-0.801178,0,3.650928,0.235707,0,4.861513,-0.458783,0,4.020497208,-0.211692792,0,3.597811,-0.469172,0,3.625295,-0.518158,0,0.288317859,-0.274246141,0,5.230631,0.353905,0,1.901528,0,3.942891,0.043063,0,4.652339,0.102901,0,1.457562,0,2.4487,0,3.872386,-0.326077,0,2.296317,0,1.121636
1_69,0,2.282002,-0.357998,-0.365718,1,3.500267,0.085046,1,5.363689,0.043393,0,4.178036276,-0.054153724,0,4.626489,0.559506,0,3.880515,-0.262938,0,0.316316603,-0.246247397,1,4.759352,-0.117374,0,1.953499,0,3.216577,-0.683251,1,4.707233,0.157795,0,1.497688,0,2.50274,1,4.392594,0.194131,1,2.128699,1,0.527336
1_71,0,2.455723,-0.184277,-0.191997,0,3.682039,0.266818,0,5.047301,-0.272995,0,4.412687071,0.180497071,0,3.891316,-0.175667,0,3.901457,-0.241996,0,0.426444514,-0.136119486,0,5.541531,0.664805,0,2.075492,0,3.175876,-0.723952,0,4.885214,0.335776,0,1.31488,0,2.341188,0,3.735654,-0.462809,0,2.411805,0,0.8951425
1_79_C1,0,1.816334,-0.823666,-0.831386,0,2.742,-0.673221,0,5.675049,0.354753,0,3.485401502,-0.746788498,0,3.330818,-0.736165,0,3.313593,-0.82986,0,0.843008069,0.280444069,0,4.38646,-0.490266,0,1.138301,0,3.661511,-0.238317,0,4.352136,-0.197302,0,1.13369,0,2.279928,0,3.988978,-0.209485,0,2.585337,0,0.4115986
1_81,0,3.221883,0.581883,0.574163,1,3.415221,0,1,5.630986,0.31069,1,4.556426463,0.324236463,0,4.107927,0.040944,1,4.677355,0.533902,0,0.458445531,-0.104118469,1,5.557525,0.680799,1,2.737353,1,4.220205,0.320377,1,4.82745,0.278012,1,1.992078,0,2.613944,1,4.550238,0.351775,1,2.390708,1,1.189311
1_84,1,4.271773,1.631773,1.624053,0,3.811242,0.396021,0,5.312782,-0.007514,0,4.54277143,0.31058143,1,4.622401,0.555418,0,4.074544,-0.068909,1,0.950809288,0.388245288,0,4.719367,-0.157359,0,2.427969,0,2.213301,-1.686527,0,4.531028,-0.01841,0,1.58295,1,2.862131,0,3.964255,-0.234208,0,2.369824,0,1.117129
1_86,0,2.951622,0.311622,0.303902,0,2.392375,-1.022846,0,5.243693,-0.076603,0,3.721294296,-0.510895704,0,4.077085,0.010102,0,3.694736,-0.448717,0,0.214603937,-0.347960063,0,4.049402,-0.827324,0,2.073034,0,3.319268,-0.58056,0,4.511746,-0.037692,0,1.733609,0,2.477931,0,3.963017,-0.235446,0,1.424409,0,0.715051
1_88,1,2.499591,-0.140409,-0.148129,1,4.136804,0.721583,1,5.495196,0.1749,1,4.852670575,0.620480575,1,4.349229,0.282246,1,4.886473,0.74302,1,1.165488441,0.602924441,1,5.997811,1.121085,1,2.162075,1,4.667051,0.767223,1,5.695285,1.145847,1,1.658272,1,2.770244,1,4.637211,0.438748,1,2.70999,1,0.8060285
1_97,1,4.683001,2.043001,2.035281,1,4.260066,0.844845,1,5.772458,0.452162,1,5.116817385,0.884627385,1,4.801975,0.734992,1,4.969464,0.826011,1,1.499071727,0.936507727,1,5.762136,0.88541,1,3.212959,1,4.405871,0.506043,1,5.283056,0.733618,1,1.78051,1,3.658251,1,4.128308,-0.070155,1,3.064065,1,1.308898
