Hybridization REF	p	difference	q	subclass
AMPLIFICATION-3Q22.1-3Q22.3	9.23860676798924e-15	1.52520325203252	3.23351236879623e-13	1
AMPLIFICATION-3Q23-3Q29	1.756223591091e-08	1.19105691056911	3.07339128440925e-07	1
NOTCH1	0.0448035010594034	-0.0487804878048781	0.156812253707912	1
KIAA1671	0.0244161630478562	-0.0609756097560976	0.0949517451861074	1
RAD50	0.0244161630478562	-0.0609756097560976	0.0949517451861074	1
SAMHD1	0.0244161630478562	-0.0609756097560976	0.0949517451861074	1
SP140	0.00735739004999305	-0.0853658536585366	0.0429181086249595	1
ARID1A	0.00404331883347198	-0.0975609756097561	0.0283032318343039	1
AMPLIFICATION_15Q21.2	2.16794259279675e-07	-0.390243902439024	2.52926635826287e-06	1
DELETION_11Q22.3	0.000818119541232863	-0.403252032520325	0.00715854598578755	1
ATM	0.000131176622254287	0.516203703703704	0.000918236355780009	2
DELETION_11Q22.3	5.35454885873958e-05	0.479938271604938	0.000817467319641589	2
DELETION_13Q14.2	0.0224178976567464	0.305555555555556	0.0569430817970933	2
NOTCH1	0.0447944043243716	-0.0493827160493827	0.0979877594595629	2
SPEN	0.02440417791304	-0.0617283950617284	0.0569430817970933	2
RAD50	0.02440417791304	-0.0617283950617284	0.0569430817970933	2
SAMHD1	0.02440417791304	-0.0617283950617284	0.0569430817970933	2
SP140	0.0073473964776225	-0.0864197530864197	0.0233780797015261	2
DELETION_12P13.2	0.0073473964776225	-0.0864197530864197	0.0233780797015261	2
ARID1A	0.00403544608523912	-0.0987654320987654	0.0156934014425966	2
TP53	0.00120896827823886	-0.123456790123457	0.00528923621729501	2
S1PR1	0.000657941009307264	-0.135802469135802	0.00328970504653632	2
DELETION_9P21.1	0.000191837177822209	-0.160493827160494	0.00111905020396289	2
SMARCA4	0.000102643835606992	-0.172839506172839	0.00089813356156118	2
AMPLIFICATION-8Q23.2-8Q24.21	8.81070993935273e-06	-0.345679012345679	0.000308374847877346	2
AMPLIFICATION-3Q22.1-3Q22.3	7.00686273978505e-05	-0.541666666666667	0.000817467319641589	2
DELETION_17P11.2	1.05487492613262e-30	0.784090909090909	3.69206224146417e-29	3
KMT2C	0.0052041242688437	0.632575757575758	0.0227680436761912	3
DELETION_12P13.2	0.0480519089751922	0.410353535353535	0.112121120942115	3
NOTCH1	0.0448535160465257	-0.0454545454545455	0.112121120942115	3
SPEN	0.0244821336257593	-0.0568181818181818	0.0659134366847366	3
KIAA1671	0.0244821336257593	-0.0568181818181818	0.0659134366847366	3
RAD50	0.0244821336257593	-0.0568181818181818	0.0659134366847366	3
SAMHD1	0.0244821336257593	-0.0568181818181818	0.0659134366847366	3
BORCS8-MEF2B	0.0134515801303663	-0.0681818181818182	0.0523117005069801	3
TP53	0.00123642760694362	-0.113636363636364	0.0061821380347181	3
DELETION_9P21.1	0.000200306329087711	-0.147727272727273	0.00116845358634498	3
CCND1	0.000200306329087711	-0.147727272727273	0.00116845358634498	3
DELETION_9P21.3	0.000108110784128559	-0.159090909090909	0.00116845358634498	3
DELETION_15Q26.2	3.0926960515967e-05	-0.181818181818182	0.000541221809029422	3
DELETION_TP53	0.00015950891579025	-0.215909090909091	0.00116845358634498	3
DELETION_9P21.1	8.5764590332088e-06	0.854022988505747	0.000154275152676481	4
DELETION_9P21.3	8.81572301008465e-06	0.842528735632184	0.000154275152676481	4
NOTCH1	0.0448456843209189	-0.0459770114942529	0.142690813748378	4
ANK2	0.0244717950588958	-0.0574712643678161	0.0856512827061353	4
SPEN	0.0244717950588958	-0.0574712643678161	0.0856512827061353	4
KIAA1671	0.0244717950588958	-0.0574712643678161	0.0856512827061353	4
RAD50	0.0244717950588958	-0.0574712643678161	0.0856512827061353	4
SP140	0.00740385085892246	-0.0804597701149425	0.043189130010381	4
DELETION_12P13.2	0.00740385085892246	-0.0804597701149425	0.043189130010381	4
KMT2C	0.00224548863729126	-0.103448275862069	0.0196480255762985	4
DELETION_15Q26.2	3.06346391876281e-05	-0.183908045977011	0.000357404123855661	4
KMT2D	0.0435367567016369	0.330586080586081	0.0801992886609101	5
SAMHD1	0.0468406488796231	0.295787545787546	0.0819711355393404	5
ANK2	0.0244392426967647	-0.0595238095238095	0.0503160879051038	5
KIAA1671	0.0244392426967647	-0.0595238095238095	0.0503160879051038	5
BORCS8-MEF2B	0.0134096393229407	-0.0714285714285714	0.033881567036723	5
SP140	0.00737665029998526	-0.0833333333333333	0.0215152300416237	5
DELETION_12P13.2	0.00737665029998526	-0.0833333333333333	0.0215152300416237	5
