"names","l","m","n","o"
"ATM",5,8,59,81
"TP53",1,12,18,122
"Amplification-3q22.1-3q22.3",6,7,48,92
"Amplification-8q23.2-8q24.21",1,12,31,109
"Deletion_9p21.1",3,10,21,119
"Deletion_11q22.3",4,9,64,76
"Deletion_TP53",5,8,22,118
"Deletion_17p13.3",4,9,48,92
"Deletion_1p13.1",1,12,28,112
"NSD2",1,12,4,136
"Deletion_6q21",1,12,29,111
"Amplification_13q31.3",0,13,8,132
"Deletion_19p13.3",1,12,48,92
"SMARCA4",3,10,17,123
"Deletion_12p13.2",0,13,13,127
"Deletion_8p23.3",2,11,43,97
"DAZAP1",1,12,7,133
"PCLO",0,13,8,132
"Amplification_17q24.3",12,1,26,114
"TET2",1,12,7,133
"Amplification_7p22.3",2,11,24,116
"SAMHD1",0,13,8,132
"S1PR1",2,11,9,131
"KMT2D",2,11,30,110
"KIAA1671",0,13,9,131
"HLA-C",4,9,11,129
"Deletion_13q12.11",4,9,45,95
"SPEN",0,13,10,130
"SP140",2,11,14,126
"RAD50",0,13,10,130
"CARD11",0,13,13,127
"Deletion_13q14.2",2,11,68,72
"ARID1A",0,13,14,126
"Deletion_9p21.3",3,10,24,116
"Deletion_6q25.3",1,12,26,114
