"names","l","m","n","o"
"ATM",30,25,34,64
"TP53",3,52,16,82
"Amplification-3q22.1-3q22.3",15,40,39,59
"Amplification-8q23.2-8q24.21",19,36,13,85
"Deletion_9p21.1",8,47,16,82
"Deletion_11q22.3",47,8,21,77
"Deletion_TP53",3,52,24,74
"Deletion_17p13.3",18,37,34,64
"Deletion_1p13.1",8,47,21,77
"NSD2",1,54,4,94
"Deletion_6q21",5,50,25,73
"Amplification_13q31.3",2,53,6,92
"Deletion_19p13.3",27,28,22,76
"SMARCA4",5,50,15,83
"Deletion_12p13.2",8,47,5,93
"Deletion_8p23.3",12,43,33,65
"DAZAP1",4,51,4,94
"PCLO",2,53,6,92
"Amplification_17q24.3",5,50,33,65
"TET2",2,53,6,92
"Amplification_7p22.3",7,48,19,79
"SAMHD1",1,54,7,91
"S1PR1",3,52,8,90
"KMT2D",9,46,23,75
"KIAA1671",5,50,4,94
"HLA-C",3,52,12,86
"Deletion_13q12.11",18,37,31,67
"SPEN",1,54,9,89
"SP140",8,47,8,90
"RAD50",1,54,9,89
"CARD11",8,47,5,93
"Deletion_13q14.2",38,17,32,66
"ARID1A",3,52,11,87
"Deletion_9p21.3",9,46,18,80
"Deletion_6q25.3",8,47,19,79
