"rnames","pvalue","odds.ratio","cluster"
"TP53",3.43851569953259e-10,51.8475002765127,5
"Deletion_TP53",9.44555907722055e-08,23.4662249429608,5
"Deletion_17p13.3",2.42028808044775e-07,39.5936536652266,5
"Deletion_19p13.3",0.00303675685813509,5.65612932851318,5
"Deletion_13q12.11",0.00303675685813509,5.65612932851318,5
"Deletion_13q14.2",0.00312847664776592,6.01492344591848,5
"Deletion_11q22.3",0.00707524052690824,0.155214008305145,5
"TET2",0.038276528961838,5.96647623186218,5
"ARID1A",0.0423204987618279,4.1726919702149,5
"ATM",0.0612485799758628,0.289587368663154,5
"SPEN",0.0716898599306725,4.22182087519755,5
"RAD50",0.0716898599306725,4.22182087519755,5
"Deletion_6q21",0.0890693381896654,2.80099178121849,5
