"names","l","m","n","o"
"ATM",3,13,61,76
"TP53",12,4,7,130
"Amplification-3q22.1-3q22.3",7,9,47,90
"Amplification-8q23.2-8q24.21",6,10,26,111
"Deletion_9p21.1",2,14,22,115
"Deletion_11q22.3",2,14,66,71
"Deletion_TP53",12,4,15,122
"Deletion_17p13.3",15,1,37,100
"Deletion_1p13.1",3,13,26,111
"NSD2",0,16,5,132
"Deletion_6q21",6,10,24,113
"Amplification_13q31.3",2,14,6,131
"Deletion_19p13.3",11,5,38,99
"SMARCA4",4,12,16,121
"Deletion_12p13.2",1,15,12,125
"Deletion_8p23.3",5,11,40,97
"DAZAP1",0,16,8,129
"PCLO",1,15,7,130
"Amplification_17q24.3",3,13,35,102
"TET2",3,13,5,132
"Amplification_7p22.3",1,15,25,112
"SAMHD1",0,16,8,129
"S1PR1",0,16,11,126
"KMT2D",4,12,28,109
"KIAA1671",2,14,7,130
"HLA-C",1,15,14,123
"Deletion_13q12.11",11,5,38,99
"SPEN",3,13,7,130
"SP140",2,14,14,123
"RAD50",3,13,7,130
"CARD11",1,15,12,125
"Deletion_13q14.2",13,3,57,80
"ARID1A",4,12,10,127
"Deletion_9p21.3",2,14,25,112
"Deletion_6q25.3",4,12,23,114
