"names","l","m","n","o"
"ATM",5,14,59,75
"TP53",2,17,17,117
"Amplification-3q22.1-3q22.3",18,1,36,98
"Amplification-8q23.2-8q24.21",2,17,30,104
"Deletion_9p21.1",1,18,23,111
"Deletion_11q22.3",3,16,65,69
"Deletion_TP53",1,18,26,108
"Deletion_17p13.3",3,16,49,85
"Deletion_1p13.1",3,16,26,108
"NSD2",0,19,5,129
"Deletion_6q21",1,18,29,105
"Amplification_13q31.3",0,19,8,126
"Deletion_19p13.3",3,16,46,88
"SMARCA4",4,15,16,118
"Deletion_12p13.2",1,18,12,122
"Deletion_8p23.3",6,13,39,95
"DAZAP1",0,19,8,126
"PCLO",2,17,6,128
"Amplification_17q24.3",2,17,36,98
"TET2",1,18,7,127
"Amplification_7p22.3",1,18,25,109
"SAMHD1",0,19,8,126
"S1PR1",4,15,7,127
"KMT2D",2,17,30,104
"KIAA1671",0,19,9,125
"HLA-C",1,18,14,120
"Deletion_13q12.11",2,17,47,87
"SPEN",1,18,9,125
"SP140",1,18,15,119
"RAD50",1,18,9,125
"CARD11",1,18,12,122
"Deletion_13q14.2",6,13,64,70
"ARID1A",2,17,12,122
"Deletion_9p21.3",1,18,26,108
"Deletion_6q25.3",0,19,27,107
