"names","l","m","n","o"
"ATM",11,7,53,82
"TP53",0,18,19,116
"Amplification-3q22.1-3q22.3",2,16,52,83
"Amplification-8q23.2-8q24.21",3,15,29,106
"Deletion_9p21.1",6,12,18,117
"Deletion_11q22.3",7,11,61,74
"Deletion_TP53",3,15,24,111
"Deletion_17p13.3",6,12,46,89
"Deletion_1p13.1",3,15,26,109
"NSD2",1,17,4,131
"Deletion_6q21",17,1,13,122
"Amplification_13q31.3",0,18,8,127
"Deletion_19p13.3",5,13,44,91
"SMARCA4",0,18,20,115
"Deletion_12p13.2",1,17,12,123
"Deletion_8p23.3",5,13,40,95
"DAZAP1",2,16,6,129
"PCLO",1,17,7,128
"Amplification_17q24.3",6,12,32,103
"TET2",0,18,8,127
"Amplification_7p22.3",7,11,19,116
"SAMHD1",0,18,8,127
"S1PR1",2,16,9,126
"KMT2D",1,17,31,104
"KIAA1671",2,16,7,128
"HLA-C",1,17,14,121
"Deletion_13q12.11",4,14,45,90
"SPEN",0,18,10,125
"SP140",1,17,15,120
"RAD50",0,18,10,125
"CARD11",1,17,12,123
"Deletion_13q14.2",7,11,63,72
"ARID1A",1,17,13,122
"Deletion_9p21.3",6,12,21,114
"Deletion_6q25.3",14,4,13,122
