Hybridization REF	p	difference	q	subclass
AMPLIFICATION-8Q23.2-8Q24.21	0.000644280851116789	1.47101449275362	0.00267026279389015	1
NSD2	0.0448830562873425	-0.0434782608695652	0.0826793142135257	1
DAZAP1	0.0448830562873425	-0.0434782608695652	0.0826793142135257	1
CARD11	0.0448830562873425	-0.0434782608695652	0.0826793142135257	1
BIRC3	0.0245211575744128	-0.0543478260869565	0.0572160343402965	1
BORCS8-MEF2B	0.0245211575744128	-0.0543478260869565	0.0572160343402965	1
DELETION_12P13.2	0.0074451765414153	-0.0760869565217391	0.0200447060730412	1
AMPLIFICATION_13Q31.3	0.0340592775420015	-0.0760869565217391	0.0745046696231283	1
TET2	0.0074451765414153	-0.0760869565217391	0.0200447060730412	1
KMT2C	0.00411260420393774	-0.0869565217391304	0.013085558830711	1
HLA-C	0.00226990969346599	-0.0978260869565217	0.00794468392713097	1
ARID1A	0.000686639004143181	-0.119565217391304	0.00267026279389015	1
SP140	0.000686639004143181	-0.119565217391304	0.00267026279389015	1
TP53	0.000110921200195913	-0.152173913043478	0.000647040334476159	1
DELETION_1P13.1	4.74431109180095e-06	-0.206521739130435	3.32101776426067e-05	1
DELETION_6Q21	2.4741728003252e-06	-0.217391304347826	2.16490120028455e-05	1
KMT2D	4.18200467445581e-08	-0.282608695652174	7.31850818029767e-07	1
DELETION_1Q21.1-1Q21.3	2.05136421540718e-08	-0.293478260869565	7.17977475392513e-07	1
AMPLIFICATION_17Q24.3	5.4718296705096e-07	-0.380434782608696	6.3838012822612e-06	1
AMPLIFICATION_7P22.3	0.0142119993167691	0.965043695380774	0.0710599965838455	2
KMT2C	0.00472903037047607	0.644194756554307	0.0366145096622947	2
DELETION_1Q21.1-1Q21.3	0.00523064423747067	0.553058676654182	0.0366145096622947	2
NSD2	0.0448611627818507	-0.0449438202247191	0.120780053643444	2
DAZAP1	0.0448611627818507	-0.0449438202247191	0.120780053643444	2
CARD11	0.0448611627818507	-0.0449438202247191	0.120780053643444	2
BIRC3	0.0244922310105497	-0.0561797752808989	0.0952475650410266	2
BORCS8-MEF2B	0.0244922310105497	-0.0561797752808989	0.0952475650410266	2
AMPLIFICATION_13Q31.3	0.0340328950214923	-0.0786516853932584	0.119115132575223	2
SP140	0.0006794728702207	-0.123595505617978	0.00792718348590817	2
TP53	0.000108833226214243	-0.157303370786517	0.00190458145874925	2
AMPLIFICATION_14Q32.33	1.64442573534502e-06	-0.370786516853933	5.75549007370757e-05	2
DELETION_13Q14.2	0.0106399208995584	-0.372034956304619	0.062066205247424	2
AMPLIFICATION_14Q32.33	0.00106957712842371	0.696231884057971	0.0146491260282438	3
DELETION_11Q22.3	2.74200224639394e-08	0.589565217391304	9.59700786237879e-07	3
DELETION_13Q14.2	0.00125563937384947	0.379130434782609	0.0146491260282438	3
BIRC3	0.021645539948687	0.217391304347826	0.126265649700674	3
DAZAP1	0.0447344200475508	-0.0533333333333333	0.130475391805356	3
AMPLIFICATION_13Q31.3	0.0338804071532968	-0.0933333333333333	0.128003314132408	3
TET2	0.00728172443702347	-0.0933333333333333	0.0637150888239554	3
DELETION_9P21.1	0.039477954549025	-0.129855072463768	0.128003314132408	3
DELETION_15Q26.2	0.0163209560275119	-0.156521739130435	0.114246692192583	3
DELETION_1Q21.1-1Q21.3	0.0402296130130425	-0.189565217391304	0.128003314132408	3
DELETION_TP53	0.0317628141015782	-0.19304347826087	0.128003314132408	3
AMPLIFICATION-3Q22.1-3Q22.3	0.0303576155196181	-0.36231884057971	0.128003314132408	3
AMPLIFICATION_13Q31.3	0.0231978413091463	0.777777777777778	0.0857228085369239	4
DELETION_9P21.1	0.00131498561758911	0.699126092384519	0.00920489932312377	4
DELETION_9P21.3	0.00175457531153136	0.66541822721598	0.0102350226505996	4
DELETION_13Q14.2	0.0424332714321312	0.362047440699126	0.130845058113731	4
DAZAP1	0.0448611627818507	-0.0449438202247191	0.130845058113731	4
BIRC3	0.0244922310105497	-0.0561797752808989	0.0857228085369239	4
DELETION_12P13.2	0.00742094808053871	-0.0786516853932584	0.0324666478523569	4
